doc_id,doc_name,doc_type,authors,publication_year,publication_venue,country_origin,language,relevance_tags,access_level,import_date,verification_status
DOC_27,ГП № 5-2025.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_28,ГП № 6-2025.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_29,ГП № 2_2026_d.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_30,ГП №1_2026_d.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_31,№ 01_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_32,№ 02_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_33,№ 03_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_34,№ 04_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_35,№ 05_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_36,№ 06_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_37,№ 07_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_38,№ 08_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_39,№ 09_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_40,№ 10_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_41,№ 11_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_42,№ 12_24.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_43,ГЖ_01_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_44,ГЖ_02_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_45,ГЖ_03_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_46,ГЖ_04_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_47,ГЖ_05_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_48,ГЖ_06_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_49,ГЖ_07_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_50,ГЖ_08_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_51,ГЖ_09_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_52,ГЖ_10_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_53,ГЖ_11_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_54,ГЖ_12_25.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_55,Гж 01_26.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_56,Гж 02_26.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_57,Гж 03_26.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_58,Гж 04_26.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_59,ОР 01_18.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_60,ОР 02_18.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
