parameter_id,node_id,parameter_name,unit,value,min_value,max_value,context,confidence_level,source_document,extraction_date
PAR_23,PRO_84,угол поворота тензора,град,,,,,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_24,PRO_84,напряжение,МПа,,,,,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_25,PRO_90,Время мониторинга,Месяцы,3,,,Набор уровня воды в плотине,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_26,EQU_93,Глубина применения,м,-1800,,,Рудник Скалистый шахта Глубокая,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_27,PRO_31,Минимальное расстояние от трещины до датчика,радиусы шпура,не менее 6,6,11,При установке датчика,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_28,PRO_31,Минимальная длина измерительного шпура,радиусы шпура и скважины,5r + 5R,5r + 5R,10r + 10R,При бурении измерительной скважины,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_29,PRO_31,Диаметр скважины,мм,,92,112,При бурении основной скважины,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_30,PRO_31,Глубина скважины,м,,"1,5 диаметра выработки",,При бурении основной скважины,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_31,EQU_96,Тип,,Радиальный 6 компонентный,,,,High,Презентация Измерение НДС Техсовет.pdf,2026-07-03
PAR_32,PRO_98,Скорость распространения продольных волн,м/с,,6000,,Используется для прогнозирования участков концентрации напряжений в горном массиве,High,Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,2026-07-03
PAR_33,EQU_102,рабочий диапазон,Гц,,3,150,,High,Презентация Тяпкина ПА.pptx,2026-07-03
PAR_34,EQU_102,шаг дискретизации,мс,1,,,,High,Презентация Тяпкина ПА.pptx,2026-07-03
PAR_35,EQU_2,плотность исходных данных,,,,,Необходима высокая плотность исходных данных для качественной интерполяции,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_36,EQU_2,качество исходных данных,,,,,"Существенная зависимость от качества исходных данных, требуется верификация с реальностью",High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_37,PRO_98,Количество спрогнозированных сейсмособытий,штуки,7 из 11,,,Прогноз за день до проявления сейсмособытий,High,Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,2026-07-03
PAR_38,PRO_98,Дата сейсмособытия,дата,1 мая 2024 года,,,Крупное сейсмособытие,High,Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,2026-07-03
PAR_39,EQU_111,Частота кадров,кадров в секунду,2000,,,,High,Презентация Тяпкина ПА.pptx,2026-07-03
PAR_40,PRO_113,Скорость записи,м/ч,,250,,Для получения детальных изображений требуется низкая скорость записи,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_41,PRO_113,Устойчивость стенок скважины,,,,,Требуются устойчивые стенки скважины для проведения исследований в открытом стволе,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_42,PRO_114,Тип породы,,,,,Определяется при физико-механических испытаниях керна.,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_43,PRO_115,Размер блока,м,,,,Используется при построении блочной модели.,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_44,PRO_118,Радиус интерполяции,,,,,,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_45,PRO_118,Количество точек,,,,,,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_46,PRO_118,Количество секторов,,,,,,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_47,FAC_122,Размер ячейки,м,,2,50,Зависит от детализации и поставленных задач,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_48,FAC_122,Глубина блока,м,,,,Рассчитывается от центра блока до топоповерхности,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_49,PRO_124,ELOS,,,,,Используется для определения устойчивых параметров очистных камер,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_50,EQU_126,Высота борта камеры,м,,,,Зависит от параметров 8/60 и 8/120,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_51,PRO_128,Рейтинг Jn,,,,,Оценка устойчивости массива горных пород,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_52,PRO_128,Параметр шероховатости Jr,,,,,Определение с использованием профилометра,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_53,PRO_132,Предел прочности,,,,,Определение для образцов горных пород,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_54,EQU_112,Шаг записи,м,"0,003",,,Оптимальный параметр для проведения каротажа,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_55,EQU_112,Скорость записи,м/ч,120,,,Оптимальный параметр для проведения каротажа,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_56,EQU_112,Горизонтальный шаг,°,"2,5",,,Оптимальный параметр для проведения каротажа,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_57,EXP_137,частотный диапазон,Гц,,,,рабочий диапазон сейсмозаписывающего оборудования,High,Тяпкина ПА_Пермь_Зимняя школа.pdf,2026-07-03
PAR_58,EXP_137,порядок тренда,,,0,3,выделение трендов для последующего исключения,High,Тяпкина ПА_Пермь_Зимняя школа.pdf,2026-07-03
PAR_59,PRO_146,Значение,МПа,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_60,PRO_147,Значение,МПа,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_61,PRO_148,Значение,г/см3,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_62,PRO_149,Значение,МПа*104,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_63,PRO_150,Значение,МПа*104,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_64,PRO_151,Значение,мм/мм,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_65,PRO_152,Значение,мм/мм,,,,В образце,High,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03
PAR_66,PRO_171,Скорость движения,км/ч,,,,Оптимальная скорость движения техники в зависимости от характеристик горной породы.,High,ГП № 1-2024.pdf,2026-07-03
PAR_67,EQU_172,время продувки,минуты,20,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_68,EQU_172,тип обдува,,двусторонний,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_69,EQU_181,масса,кг,112100,,,с рыхлителем,High,ГП № 1-2024.pdf,2026-07-03
PAR_70,EQU_182,мощность,кВт,708,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_71,EQU_181,тяговое усилие,кН,1400,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_72,EQU_181,объем отвала,м³,28,,,(ISO 9246:1988),High,ГП № 1-2024.pdf,2026-07-03
PAR_73,MAT_192,прочность,,,,,при использовании в строительстве объектов,High,ГП № 1-2024.pdf,2026-07-03
PAR_74,EQU_196,масса,кг,70630,,,с рыхлителем,High,ГП № 1-2024.pdf,2026-07-03
PAR_75,EQU_196,мощность,кВт,450,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_76,EQU_196,тяговое усилие,кН,1018,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_77,MAT_198,òåìïåðàòóðà,°C,,0,55,äèàïàçîí ïðèìåíåíèÿ,High,ГП № 1-2024.pdf,2026-07-03
PAR_78,MAT_198,ñðîê õðàíåíèÿ,äíè,21,,,íà ìåñòå ïðèìåíåíèÿ áåç ïîòåðè òåõíîëîãè÷åñêèõ ñâîéñòâ,High,ГП № 1-2024.pdf,2026-07-03
PAR_79,EQU_201,Ширина ленточного полотна,мм,,800,1200,,High,ГП № 1-2024.pdf,2026-07-03
PAR_80,EQU_201,Шаг перемещения,мм,1000,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_81,EQU_201,Усилие перемещения,кН,500,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_82,EQU_201,Мощность эл/двигателя маслостанции,кВт,,37,55,,High,ГП № 1-2024.pdf,2026-07-03
PAR_83,EQU_201,Подача рабочей жидкости,л/мин,,134,182,,High,ГП № 1-2024.pdf,2026-07-03
PAR_84,EQU_201,Рабочее давление гидросистемы,МПа,16,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_85,EQU_201,Мощность приводной секции,кВт,,320,630,,High,ГП № 1-2024.pdf,2026-07-03
PAR_86,EQU_201,Телескопичность ленточного полотна,м,до 200,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_87,EQU_201,Ход натяжной каретки,м,20,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_88,MAT_203,Диаметр трубы,мм,,200,800,Различные диаметры труб используются для анализа их влияния на вес и жёсткость стенки,High,ГП № 1-2024.pdf,2026-07-03
PAR_89,MAT_203,Толщина стенки,мм,,8,15,Толщина стенки влияет на жёсткость и вес трубы,High,ГП № 1-2024.pdf,2026-07-03
PAR_90,MAT_207,Диаметр,мм,,200,800,,High,ГП № 1-2024.pdf,2026-07-03
PAR_91,MAT_207,Толщина стенки,мм,,8,15,,High,ГП № 1-2024.pdf,2026-07-03
PAR_92,MAT_207,Масса,кг/п·м,,"9,4","72,1",,High,ГП № 1-2024.pdf,2026-07-03
PAR_93,MAT_207,EJ,МПа·м²,,"0,6",174,,High,ГП № 1-2024.pdf,2026-07-03
PAR_94,MAT_210,Прочность на растяжение,МПа,,124,134,,High,ГП № 1-2024.pdf,2026-07-03
PAR_95,MAT_211,Прочность на растяжение,МПа,,148,150,,High,ГП № 1-2024.pdf,2026-07-03
PAR_96,MAT_210,Вес,кг/п.м,,"8,2","27,5",,High,ГП № 1-2024.pdf,2026-07-03
PAR_97,MAT_211,Вес,кг/п.м,,"1,5","2,4",,High,ГП № 1-2024.pdf,2026-07-03
PAR_98,MAT_217,Толщина,мм,40,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_99,MAT_217,Эффективность,%,50,,,Увеличение выгрузки материала,High,ГП № 1-2024.pdf,2026-07-03
PAR_100,EQU_220,высота выброса,м,,18,30,при добыче полезных ископаемых,High,ГП № 1-2024.pdf,2026-07-03
PAR_101,EQU_232,высота,м,,20,30,для удобства оператора,High,ГП № 1-2024.pdf,2026-07-03
PAR_102,EQU_240,дальность пути,км,,менее 1,более 1,выбор типа протектора шины,High,ГП № 1-2024.pdf,2026-07-03
PAR_103,MAT_244,ТКВЧ,тонно-километры в час,,,,"Показатель, определяющий производительность шины",High,ГП № 1-2024.pdf,2026-07-03
PAR_104,EQU_245,Тип шин,,Пневматические шины,,,Для подземных самоходных горных машин,High,ГП № 1-2024.pdf,2026-07-03
PAR_105,PRO_262,Содержание сероводорода,% об.,,,,В ёмкости с пробой руды,High,ГП № 1-2024.pdf,2026-07-03
PAR_106,PRO_262,Объём ёмкости,см3,,,,"За вычетом объёма, занятого рудой",High,ГП № 1-2024.pdf,2026-07-03
PAR_107,PRO_262,Вес пробы,кг,2,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_108,EQU_269,средняя скорость,км/ч,до 5,,5,короткие дистанции пути,High,ГП № 1-2024.pdf,2026-07-03
PAR_109,EQU_270,средняя скорость,км/ч,до 6,,6,короткие дистанции пути,High,ГП № 1-2024.pdf,2026-07-03
PAR_110,EQU_271,средняя скорость,км/ч,до 16,,16,большая дистанция пути,High,ГП № 1-2024.pdf,2026-07-03
PAR_111,PRO_272,Энергоёмкость процесса,не указана,снижена,,,При выборе оборудования для бульдозерной технологии,High,ГП № 1-2024.pdf,2026-07-03
PAR_112,MAT_276,Содержание,%,до 10%,,10%,"В соляных породах, например, Второго Березниковского калийного рудника",High,ГП № 1-2024.pdf,2026-07-03
PAR_113,PRO_283,концентрация сероводорода,мг/л,,,,при определении мест скопления опасных серосодержащих газов,High,ГП № 1-2024.pdf,2026-07-03
PAR_114,PRO_283,содержание хлористого магния,,,,,при определении мест скопления опасных серосодержащих газов,High,ГП № 1-2024.pdf,2026-07-03
PAR_115,PRO_292,concentration,mg/l,,,,In potash mines,High,ГП № 1-2024.pdf,2026-07-03
PAR_116,MAT_273,Влажность,%,,не более 65,,При добыче сырья повышенной влажности,High,ГП № 1-2024.pdf,2026-07-03
PAR_117,PRO_303,Производительность,т/год,,20,40,,High,ГП № 1-2024.pdf,2026-07-03
PAR_118,PRO_309,Интервал наработки до отказа,Единицы времени,,,,Для элементов подвески карьерных автосамосвалов,High,ГП № 1-2024.pdf,2026-07-03
PAR_119,EQU_307,Наработка до отказа,Единицы времени,,,,Динамически изменяющиеся условия эксплуатации,High,ГП № 1-2024.pdf,2026-07-03
PAR_120,EQU_304,Объём ковша/отвала/кузова,м³,"9,7",,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_121,PRO_317,Средняя наработка на отказ,,,,,"Учитывает различные виды экономических затрат и коэффициент, отражающий связь влияния горнотехнических условий эксплуатации на среднюю наработку до отказа.",High,ГП № 1-2024.pdf,2026-07-03
PAR_122,EQU_307,Межремонтный период,моточас,,,,Для каждой модели карьерных автосамосвалов можно скорректировать межремонтный период,High,ГП № 1-2024.pdf,2026-07-03
PAR_123,PRO_327,граничный коэффициент вскрыши,,,,,Увеличение граничного коэффициента вскрыши при переходе на циклично-поточную технологию.,High,ГП № 1-2024.pdf,2026-07-03
PAR_124,PRO_330,Мощность залежей,м,,"0,5",6,Примеры параметра кондиций по мощности залежей для открытой разработки месторождений твердых полезных ископаемых различных видов,High,ГП № 1-2024.pdf,2026-07-03
PAR_125,PRO_330,Коэффициент вскрыши,,,,,Зависит от класса и группы технологической схемы управления качеством потоков горной массы,High,ГП № 1-2024.pdf,2026-07-03
PAR_126,PRO_330,Объем некондиционных по мощности рудных тел,,,,,Зависит от класса и группы технологической схемы управления качеством потоков горной массы,High,ГП № 1-2024.pdf,2026-07-03
PAR_127,PRO_330,Количество линий,шт.,,,,Оптимизация количества линий поточной технологии в карьере,High,ГП № 1-2024.pdf,2026-07-03
PAR_128,MAT_338,Содержание полезного ископаемого,%,,,,Прогнозирование возможности идентификации в общем потоке отвальной горной массы,High,ГП № 1-2024.pdf,2026-07-03
PAR_129,PRO_327,производительность,тонн в час,,,,зависит от конкретных условий применения,High,ГП № 1-2024.pdf,2026-07-03
PAR_130,PRO_327,капитальные затраты,рубли,,,,зависят от конкретных условий применения,High,ГП № 1-2024.pdf,2026-07-03
PAR_131,PRO_327,эксплуатационные затраты,рубли,,,,зависят от конкретных условий применения,High,ГП № 1-2024.pdf,2026-07-03
PAR_132,PRO_343,Линейный размер кусков,мм,,1000,1400,До ввода ЦПТ,High,ГП № 1-2024.pdf,2026-07-03
PAR_133,PRO_345,Линейный размер куска,мм,,100,350,После ввода ЦПТ,High,ГП № 1-2024.pdf,2026-07-03
PAR_134,EQU_348,Точность,%,,1,6,Контроль перевезённой горной массы для каждого рейса,High,ГП № 1-2024.pdf,2026-07-03
PAR_135,EQU_348,Точность,%,,0.5,1,Контроль перевезённой горной массы конкретной ПДМ за смену,High,ГП № 1-2024.pdf,2026-07-03
PAR_136,PRO_352,Точность взвешивания,%,,5,8,Для ПДМ,High,ГП № 1-2024.pdf,2026-07-03
PAR_137,EQU_355,Количество отсчётов,отсчёты,,75,130,За время движения ПДМ груженой или пустой (100–200 с),High,ГП № 1-2024.pdf,2026-07-03
PAR_138,PRO_354,Статистическая ошибка,%,,15,25,При измерении в одной точке (в один момент времени),High,ГП № 1-2024.pdf,2026-07-03
PAR_139,PRO_356,Калибровочный коэффициент,тонн/mA,,,,Используется для пересчета показаний давления в массу перевозимой руды.,High,ГП № 1-2024.pdf,2026-07-03
PAR_140,EQU_353,Среднее время между погрузкой и выгрузкой,секунды,,несколько десятков секунд,несколько минут,Вариации времени в зависимости от расстояния перевозки (краткое и длинное плечо).,High,ГП № 1-2024.pdf,2026-07-03
PAR_141,PRO_362,точность измерения,%,±6,,,контроль перевезённой горной массы для каждого рейса,High,ГП № 1-2024.pdf,2026-07-03
PAR_142,PRO_362,количество рейсов за смену,рейсы,60,,,контроль перевезённой горной массы конкретной погрузочно-доставочной машиной за смену,High,ГП № 1-2024.pdf,2026-07-03
PAR_143,PRO_368,Коэффициент поперечной фильтрации,,,,,Изменение коэффициента поперечной фильтрации влияет на результаты моделирования,High,ГП № 1-2024.pdf,2026-07-03
PAR_144,PRO_371,Коэффициент поперечной фильтрации,м/сут,,10,1000,Изменение коэффициента поперечной фильтрации Кx при постоянных значениях продольного Ky и вертикального Kz коэффициентов,High,ГП № 1-2024.pdf,2026-07-03
PAR_145,PRO_371,Объем фильтрации воды,м³/сут,,4.7,660,Объем фильтрации воды сквозь тело дамбы,High,ГП № 1-2024.pdf,2026-07-03
PAR_146,PRO_374,pH,,< 7,,,Условия эксплуатации анкерной крепи,High,ГП № 1-2024.pdf,2026-07-03
PAR_147,PRO_374,Скорость коррозии,не указана,,,,зависит от pH воды,High,ГП № 1-2024.pdf,2026-07-03
PAR_148,EQU_379,Экономический эффект,млн руб/км,"6,6",,,применение анкеров с антикоррозионным покрытием,High,ГП № 1-2024.pdf,2026-07-03
PAR_149,EQU_387,длина,м,"2,2",,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_150,MAT_385,толщина антикоррозионного покрытия,мкм,500,,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_151,PRO_397,производительность,не указана,повышенная,,,при использовании в условиях неустойчивых вмещающих пород,High,ГП № 1-2024.pdf,2026-07-03
PAR_152,PRO_396,Коэффициент фильтрации,м/сут,,10,1000,Проницаемость грунтов ограждающей дамбы,High,ГП № 1-2024.pdf,2026-07-03
PAR_153,PRO_396,Объем фильтрации,м³/сут,,5,650,Проницаемость грунтов ограждающей дамбы,High,ГП № 1-2024.pdf,2026-07-03
PAR_154,PRO_396,Перемещения грунтов,м,,0.13,0.23,Проницаемость грунтов ограждающей дамбы,High,ГП № 1-2024.pdf,2026-07-03
PAR_155,PRO_401,Процентное содержание,%,,,,В руде на каждом этапе разработки месторождения,High,ГП № 1-2024.pdf,2026-07-03
PAR_156,PRO_405,Направление отработки,,,,,Зависит от принятой нормативной прочности закладочного массива укрепленного слоя,High,ГП № 1-2024.pdf,2026-07-03
PAR_157,PRO_405,Длина блока,,,,,"Должна быть определена таким образом, чтобы обнажение защитного слоя в вертикальной стенке камеры оставалось устойчивым",High,ГП № 1-2024.pdf,2026-07-03
PAR_158,PRO_405,Расположение камер,,,,,По простиранию рудного тела,High,ГП № 1-2024.pdf,2026-07-03
PAR_159,FAC_417,добыча золота,унции,более 17 млн,,,период совместной эксплуатации месторождения 1997–2020 гг.,High,ГП № 1-2024.pdf,2026-07-03
PAR_160,FAC_417,валовая рентабельность,%,"-2,6",-55,57,оценка уровня формирования горной ренты для шести месторождений на разнице валовой прибыли с учётом и без учёта налогового режима,High,ГП № 1-2024.pdf,2026-07-03
PAR_161,FAC_418,Средние годовые операционные затраты,млн долл.,,,,"При моделировании затрат на расширение, модернизацию и поддержание производства",High,ГП № 1-2024.pdf,2026-07-03
PAR_162,FAC_418,Дифференциальная рента II,%,29,,,Оценка прироста ренты за счет геотехнологических и технологических производств,High,ГП № 1-2024.pdf,2026-07-03
PAR_163,PRO_421,Нормирование прибыли,%,,10,30,Привлечение квалифицированных операционных компаний для разработки месторождений,High,ГП № 1-2024.pdf,2026-07-03
PAR_164,PRO_421,Горная рента II,%,,"1,6",40,Безусловная собственность инвестиционного капитала и/или операциониста,High,ГП № 1-2024.pdf,2026-07-03
PAR_165,PRO_422,Содержание золота в эквиваленте,г/т,,"1,01","9,19",Оценка горной ренты ряда месторождений,High,ГП № 1-2024.pdf,2026-07-03
PAR_166,PRO_422,Прибыль при действующем налоговом режиме,млн долл.,,"-1166,08","1330,09",Оценка горной ренты ряда месторождений,High,ГП № 1-2024.pdf,2026-07-03
PAR_167,PRO_422,Валовая рентабельность,%,,"-55,32","75,46",Оценка горной ренты ряда месторождений,High,ГП № 1-2024.pdf,2026-07-03
PAR_168,MAT_424,Содержание золота в руде,г/т,,до 2,>5,Распределение золоторудных объектов по содержаниям золота,High,ГП № 1-2024.pdf,2026-07-03
PAR_169,EXP_432,Содержание меди в биомассе растений,мг/кг,,40,235,второй и третий год проведения исследований,High,ГП № 1-2024.pdf,2026-07-03
PAR_170,EXP_432,Содержание цинка в биомассе растений,мг/кг,,473,510,второй и третий год проведения исследований,High,ГП № 1-2024.pdf,2026-07-03
PAR_171,MAT_434,pH,,,6.0,6.5,Характеристики ТДМ,High,ГП № 1-2024.pdf,2026-07-03
PAR_172,MAT_434,Содержание K,мг/кг,2269,,,Характеристики ТДМ,High,ГП № 1-2024.pdf,2026-07-03
PAR_173,MAT_434,Содержание Mg,мг/кг,3147.15,,,Характеристики ТДМ,High,ГП № 1-2024.pdf,2026-07-03
PAR_174,MAT_434,Содержание Cu,мг/кг,2.75,,,Характеристики ТДМ,High,ГП № 1-2024.pdf,2026-07-03
PAR_175,MAT_434,Насыпная плотность,кг/м3,,680,700,Характеристики ТДМ,High,ГП № 1-2024.pdf,2026-07-03
PAR_176,MAT_443,Удельная поверхность,м²/кг,,20,50,,High,ГП № 1-2024.pdf,2026-07-03
PAR_177,MAT_443,Ионообменная способность,г-экв/кг,,"0,8","1,2",,High,ГП № 1-2024.pdf,2026-07-03
PAR_178,EXP_450,скорость нагружения,кН/с,,"0,01",50,одноосное сжатие,High,ГП № 1-2024.pdf,2026-07-03
PAR_179,MAT_458,Прочность при сжатии,МПа,,226,297,"Скорость нагружения: 0,01–30 кН/с",High,ГП № 1-2024.pdf,2026-07-03
PAR_180,MAT_459,Прочность при сжатии,МПа,,61,82,"Скорость нагружения: 0,01–50 кН/с",High,ГП № 1-2024.pdf,2026-07-03
PAR_181,PRO_460,Скорость нагружения,кН/с,,"0,01",50,,High,ГП № 1-2024.pdf,2026-07-03
PAR_182,PRO_462,Тип модели,,трехмерная модель,,,"для анализа доступности объектов инфраструктуры, определения потенциальных угроз и планирования будущего развития районов освоения",High,ГП № 1-2024.pdf,2026-07-03
PAR_183,MAT_458,прочность,МПа,276,269,300,скорость нагружения: 3-7 кН/с,High,ГП № 1-2024.pdf,2026-07-03
PAR_184,MAT_459,прочность,МПа,65,66,78,скорость нагружения: 3-10 кН/с,High,ГП № 1-2024.pdf,2026-07-03
PAR_185,PRO_465,Скорость нагружения,МПа/с,,1,5,ГОСТ 21153.2–84,High,ГП № 1-2024.pdf,2026-07-03
PAR_186,MAT_463,Предел прочности при сжатии,МПа,,100,,,High,ГП № 1-2024.pdf,2026-07-03
PAR_187,MAT_464,Предел прочности при сжатии,МПа,,40,90,,High,ГП № 1-2024.pdf,2026-07-03
PAR_188,PRO_469,эффективность использования,,,,,В контексте развития районов освоения,High,ГП № 1-2024.pdf,2026-07-03
PAR_189,FAC_475,Антропогенная нагрузка,условные единицы,,,,Оценка антропогенной нагрузки административных образований Республики Тыва,High,ГП № 1-2024.pdf,2026-07-03
PAR_190,MAT_458,прочность,МПа,284,,,скорость нагружения от 1 до 5 МПа/с,High,ГП № 1-2024.pdf,2026-07-03
PAR_191,MAT_459,прочность,МПа,67,,,скорость нагружения от 1 до 5 МПа/с,High,ГП № 1-2024.pdf,2026-07-03
PAR_192,PUB_476,скорость деформации,,,,,исследование влияния на механическое поведение песчаников,High,ГП № 1-2024.pdf,2026-07-03
PAR_193,PUB_477,скорость нагружения,,,,,исследование влияния на трещиностойкость горных пород,High,ГП № 1-2024.pdf,2026-07-03
PAR_194,PUB_478,скорость нагружения,,,,,экспериментальное исследование влияния на прочность и трещиностойкость горных пород,High,ГП № 1-2024.pdf,2026-07-03
