node_id,entity_type,name,language,synonyms,description,domain,source_document,created_date,updated_date,is_canonical
EXP_19,Experiment,Моделирование узла выдачи расплава базальта,ru,,"Проведено моделирование течения двухфазной среды расплав-газ, оценена работоспособность предложенной конструкции фидера.",пирометаллургия,Доклад_Луканина М.А.pdf,2026-07-03,2026-07-03,True
EXP_20,Experiment,Моделирование перемешивания пульпы в реакторе,ru,,Моделирование течения в гидрометаллургических реакторах с конусообразным и плоским дном.,гидрометаллургия,Доклад_Луканина М.А.pdf,2026-07-03,2026-07-03,True
EQU_21,Equipment,СЭМ TESCAN LYRA3,en,,Аналитический комплекс на базе СЭМ TESCAN с детекторами WDS и EDS,пирометаллургия,Доклад_Новожилова О.С.pdf,2026-07-03,2026-07-03,True
EQU_22,Equipment,СЭМ TESCAN VEGA,en,,Аналитический комплекс на базе СЭМ TESCAN с детектором EDS,пирометаллургия,Доклад_Новожилова О.С.pdf,2026-07-03,2026-07-03,True
EQU_23,Equipment,СЭМ TESCAN MIRA,en,,Аналитический комплекс на базе СЭМ TESCAN с детекторами EBSD и EDS,пирометаллургия,Доклад_Новожилова О.С.pdf,2026-07-03,2026-07-03,True
PRO_24,Process,локальное ионное травление,ru,,Метод исследования вещественного состава и морфологии гранул пыли,пирометаллургия,Доклад_Новожилова О.С.pdf,2026-07-03,2026-07-03,True
MAT_25,Material,огнеупор,ru,,"Материал, используемый в металлургической промышленности",пирометаллургия,Доклад_Новожилова О.С.pdf,2026-07-03,2026-07-03,True
MAT_26,Material,шлак,ru,,Побочный продукт металлургического процесса,пирометаллургия,Доклад_Новожилова О.С.pdf,2026-07-03,2026-07-03,True
PUB_27,Publication,Курс по основам производственного цикла получения готовой товарной продукции,ru,,"Курс разработан для сотрудников Норникеля и специалистов, которым необходимо разобраться в различных особенностях основных технологических переделов компании.","пирометаллургия, гидрометаллургия",Доклад_Вострикова Н.М.pdf,2026-07-03,2026-07-03,True
PRO_28,Process,Обогащение руды,ru,Переработка руды,Процесс переработки руды с получением концентратов.,переработка отходов,Доклад_Вострикова Н.М.pdf,2026-07-03,2026-07-03,True
PRO_29,Process,Переработка концентратов,ru,Получение готовой продукции,Процесс переработки концентратов с получением готовой продукции и промпродуктов.,пирометаллургия,Доклад_Вострикова Н.М.pdf,2026-07-03,2026-07-03,True
PRO_30,Process,Гидрометаллургическая переработка рудного сырья,ru,,Технология автоклавного окислительного выщелачивания малоникелистого пирротинового концентрата.,гидрометаллургия,Доклад_Вострикова Н.М.pdf,2026-07-03,2026-07-03,True
PRO_31,Process,Метод полной разгрузки керна Overcoring,ru,,"Метод, применяемый Институтом Гипроникель для измерения НДС",Переработка отходов,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EQU_32,Equipment,Геологоразведочный станок,ru,,Используется для полевых работ,Переработка отходов,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EXP_33,Experiment,Численное моделирование процесса разгрузки,ru,,Моделирование процесса бурения скважины диаметром HQ (96 мм) на глубину 10 м для оценки влияния горной выработки на НДС,Переработка отходов,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
PRO_34,Process,Сейсмическое действие взрывных работ,ru,,Анализ и прогнозирование сейсмического воздействия взрывных работ на окружающую среду.,Переработка отходов,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
PUB_35,Publication,ГОСТ Р 52892-2007,ru,,Стандарт по измерению вибрации и оценке ее воздействия на конструкции.,,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
PUB_36,Publication,DIN 4150-3,en,,Немецкий стандарт по измерению сейсмического действия взрывов.,,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
PUB_37,Publication,BS 7385-2:1993,en,,Британский стандарт по измерению сейсмического действия взрывов.,,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
PRO_38,Process,Метод полной разгрузки керна,ru,Overcoring,Метод определения напряженно-деформированного состояния массива горных пород,Геомеханика,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EQU_39,Equipment,USBM Cell,en,,Трехкомпонентный скважинный деформометр производства Geokon (США),Геомеханика,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EQU_40,Equipment,IST tool,en,,8-канальный беспроводной скважинный деформометр производства Sygra Pty Ltd and Mr. Ian Gray (Австралия),Геомеханика,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EQU_41,Equipment,CSIRO HI Cell,en,,Тензодатчик производства Австралии,Геомеханика,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EQU_42,Equipment,Borre Probe,en,,Оборудование производства Швеции,Геомеханика,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EXP_43,Expert,Трофимов А.В.,ru,,"Заведующий лабораторией геотехники, к.т.н., ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»",Геомеханика,НДС Комсомольский.pdf,2026-07-03,2026-07-03,True
EQU_44,Equipment,Micromine,en,,Программное обеспечение для моделирования процессов горно-металлургического производства,горно-металлургическое производство,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
EQU_45,Equipment,тНавигатор,ru,,Отечественное программное обеспечение для моделирования процессов горно-металлургического производства,горно-металлургическое производство,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
PRO_46,Process,геомеханическое блочное моделирование,ru,,"Метод моделирования, используемый в горно-металлургическом производстве",горно-металлургическое производство,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
MAT_47,Material,ЖМК,ru,,Железо-марганцевые конкреции,переработка отходов,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,2026-07-03,2026-07-03,True
MAT_48,Material,КМК,ru,,Концентрат марганцевых конкреций,переработка отходов,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,2026-07-03,2026-07-03,True
MAT_49,Material,латеритные никелевые руды,ru,,"Тип руды, содержащий никель",пирометаллургия,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,2026-07-03,2026-07-03,True
MAT_50,Material,медные и медно-цинковые сульфидные концентраты,ru,,"Концентраты, содержащие медь и цинк",переработка отходов,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,2026-07-03,2026-07-03,True
PRO_51,Process,переработка ЖМК и КМК,ru,переработка железо-марганцевых конкреций,Смешанные пиро-гидрометаллургические и гидрометаллургические способы переработки,переработка отходов,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,2026-07-03,2026-07-03,True
PRO_52,Process,переработка латеритных никелевых руд,ru,,"Технологические приемы, применяемые при переработке латеритных никелевых руд",пирометаллургия,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,2026-07-03,2026-07-03,True
EXP_53,Expert,Федосеев Антон Владимирович,ru,,"к.т.н., ведущий научный сотрудник Лаборатории Геотехники",экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
FAC_54,Facility,Лаборатория Геотехники,ru,,"лаборатория, занимающаяся исследованиями в области геотехники",экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
EQU_55,Equipment,велосиметр,ru,,прибор для измерения скорости смещения,экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
EQU_56,Equipment,акселерометр,ru,,прибор для измерения ускорения,экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
EQU_57,Equipment,сейсмостанция,ru,,устройство для синхронной регистрации вибраций,экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
EQU_58,Equipment,тензометрическая станция,ru,,устройство для измерения деформаций,экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
EQU_59,Equipment,вибромонитор,ru,,устройство для измерения ударно-воздушной волны,экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
EQU_60,Equipment,высокоскоростная камера,ru,,устройство для высокоскоростной видеосъемки,экология,Доклад_Федосеев А.В.pdf,2026-07-03,2026-07-03,True
MAT_61,Material,Рудное сырьё,ru,Платиносодержащее сырьё,"Сырьё, содержащее металлы платиновой группы",переработка отходов,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_62,Process,Штейновая плавка,ru,,Головная технологическая операция для наиболее полного извлечения МПГ,пирометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_63,Process,Гидрометаллургические процессы,ru,,Процессы для переработки рудного платиносодержащего сырья,гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_64,Process,Обогащение рудного сырья,ru,,Технологические схемы для наиболее полного извлечения МПГ в зависимости от минерализации,переработка отходов,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
MAT_65,Material,сульфидные медно-никелевые руды,ru,,"Тип руды, содержащий медь и никель, а также платиноиды",пирометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
MAT_66,Material,малосульфидные платинометальные руды,ru,,"Тип руды, содержащий платиноиды с низким содержанием сульфидов",пирометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_67,Process,селективная флотация,ru,,"Процесс обогащения руды, при котором происходит разделение минералов на основе их физических и химических свойств",гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
EQU_68,Equipment,Талнахская обогатительная фабрика,ru,ТОФ-2ПК,"Обогатительная фабрика, используемая для переработки богатых руд",переработка отходов,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
EQU_69,Equipment,Норильская обогатительная фабрика,ru,НОФ,"Обогатительная фабрика, используемая для переработки вкрапленных и медистых руд",переработка отходов,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
EQU_70,Equipment,Python,en,,"Язык программирования, используемый в моделировании",Переработка отходов,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
EQU_71,Equipment,SCAD Office,en,,Программное обеспечение для инженерного анализа,Переработка отходов,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
PRO_72,Process,Расчет параметров усиления шахтного ствола,ru,Усиление шахтного ствола,Процесс расчета параметров усиления шахтного ствола на участке разрушения старой крепи,Переработка отходов,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
PRO_73,Process,Создание блоков сетки конечных элементов,ru,Блочное моделирование,Создание блоков сетки конечных элементов с условно гладкой геометрией на основе вокселей блочной модели,Переработка отходов,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
PRO_74,Process,Конечно-дискретное моделирование отработки рудного тела,ru,FDEM моделирование,"Прогноз зон сдвижения, образование водопроводящих трещин и пустот",Переработка отходов,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
PRO_75,Process,Дискретное моделирование процесса выпуска руды,ru,DEM моделирование,Определение показателей потерь и разубоживания при различных геометрических параметрах выпускной выработки,Переработка отходов,Преза Рудник 2025.pptx,2026-07-03,2026-07-03,True
MAT_76,Material,Рудные концентраты,ru,,Исходное сырьё для гидрометаллургической переработки,гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
MAT_77,Material,Файнштейны,ru,промпродукты,Продукт переработки рудных концентратов,гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_78,Process,Окислительный обжиг,ru,,Процесс обработки МПГ-содержащих промпродуктов,пирометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_79,Process,Восстановительная анодная плавка,ru,,Процесс обработки МПГ-содержащих промпродуктов,пирометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_80,Process,Электрорафинирования анодов,ru,,Процесс обработки МПГ-содержащих промпродуктов,пирометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_81,Process,Флотация,ru,,Процесс обработки МПГ-содержащих промпродуктов,гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_82,Process,Жидкофазная сульфатизация,ru,,Процесс обработки МПГ-содержащих промпродуктов,гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_83,Process,Гидрохлорирование,ru,,Процесс обработки МПГ-содержащих промпродуктов,гидрометаллургия,Презентация для  научного совета.pptx,2026-07-03,2026-07-03,True
PRO_84,Process,Поворот тензора напряжений,ru,,Математическая модель для расчета поворота тензора напряжений.,Не применимо,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
PUB_85,Publication,USBM RI № 8507,en,,Американский стандарт по измерению сейсмического действия взрывов,экология,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
PUB_86,Publication,NS 8141–1:2022,en,,Норвежский стандарт по измерению сейсмического действия взрывов,экология,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
PUB_87,Publication,РБ Г-05-039-96,ru,,Белорусское руководство по анализу опасности аварийных взрывов,экология,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
MAT_88,Material,Гидротехнический бетон,ru,,"Материал, используемый в конструкции плотины",Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EQU_89,Equipment,Экстензометры,ru,Датчики деформации,Используются для мониторинга изменения НДС в гидротехническом бетоне,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
PRO_90,Process,Мониторинг деформаций,ru,,Процесс измерения изменений в гидротехническом бетоне при изменении уровня воды,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EXP_91,Experiment,Исследование напряженно-деформированного состояния массива и гидротехнических сооружений,ru,,Исследование напряженно-деформированного состояния массива и гидротехнических сооружений методом полной разгрузки керна скважинными экстензометрами разработки Института Гипроникель,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EQU_92,Equipment,Скважинный экстензометр,ru,Экстензометр,Устройство для измерения деформаций в горных породах,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EQU_93,Equipment,Датчик USBM Cell Geokon,en,,Трехкомпонентный скважинный деформометр производства Geokon (США),Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
PRO_94,Process,Акустическое сканирование скважин,ru,ATV,Метод обработки данных для определения направления горизонтальных напряжений и расчёта их величин.,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EQU_95,Equipment,Буровая установка,ru,,Оборудование для бурения скважин,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EQU_96,Equipment,Экстензометр,ru,Датчик деформации,Прибор для измерения деформаций,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
EQU_97,Equipment,Тензостанция,ru,,Устройство для регистрации данных с датчиков,Переработка отходов,Презентация Измерение НДС Техсовет.pdf,2026-07-03,2026-07-03,True
PRO_98,Process,Прогнозирование участков концентрации напряжений,ru,"Прогноз удароопасности, прогноз сейсмических явлений",Метод прогнозирования участков концентрации напряжений в массиве горных пород по данным скоростей распространения продольных волн.,"Переработка отходов, горнодобывающая промышленность",Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,2026-07-03,2026-07-03,True
EQU_99,Equipment,Сейсмопавильоны,ru,,Оборудование для регистрации сейсмособытий и измерения скоростей распространения продольных волн в горном массиве.,Горнодобывающая промышленность,Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,2026-07-03,2026-07-03,True
PRO_100,Process,Измерение скорости распространения продольной волны,ru,,Процесс измерения скорости распространения продольной волны при взрывах в горных породах,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_101,Equipment,Сейсмостанция и датчик №1,ru,,Оборудование для измерения сейсмических колебаний,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_102,Equipment,Акселерометр ZET 7152-N,ru,,Устройство для измерения вибраций с рабочим диапазоном 3–150 Гц и шагом дискретизации 1 мс,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
PUB_103,Publication,Мосинец В. Н. Дробящее и сейсмическое действие взрыва в горных породах,ru,,Книга о дробящем и сейсмическом действии взрыва в горных породах,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
ORG_104,Organization,ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»,ru,,"Организация, занимающаяся исследованиями и разработками в области геомеханики и горной промышленности.",,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_105,Process,Микросейсмический метод,ru,,Метод прогнозирования удароопасности и концентрации напряжений,Переработка отходов,Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,2026-07-03,2026-07-03,True
EQU_106,Equipment,Велосиметр ZET 7156,ru,,Прибор для измерения скорости,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_107,Equipment,Акселерометр ZET 7152N,ru,,Прибор для измерения ускорений,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_108,Equipment,Сейсмостанция ZET 048-E,ru,,Сейсмическая станция с двумя сейсмоприемниками ВС 1313,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_109,Equipment,Тензометрическая станция ZET 058,ru,,Станция для тензометрических измерений,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_110,Equipment,Вибромонитор Micromate,ru,,Прибор для вибромониторинга с функцией измерения УВВ,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_111,Equipment,Высокоскоростная камера Phantom Miro C320,ru,,Камера для высокоскоростной видеосъемки,Переработка отходов,Презентация Тяпкина ПА.pptx,2026-07-03,2026-07-03,True
EQU_112,Equipment,Acoustic Televiever (ATV),en,,"Прибор для проведения исследований скважин, испускает сверхзвуковые импульсы и фиксирует время прохождения и амплитуду сигнала.",Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_113,Process,Процедура исследований прибором ATV,ru,Метод ATV,"Методика исследования скважин с помощью прибора ATV, включающая требования к условиям проведения и обработку данных.",Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_114,Process,Физико-механические испытания керна,ru,,Испытания керна геотехнических скважин для определения физико-механических свойств горных пород.,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_115,Process,Блочное моделирование,ru,,Построение блочной модели на основе геотехнических данных.,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
MAT_116,Material,Керн геотехнических скважин,ru,,"Образцы горных пород, полученные при бурении геотехнических скважин.",Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
FAC_117,Facility,База данных регионального прогноза,ru,,База данных для хранения информации о сейсмической активности региона.,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_118,Process,Интерполяция данных,ru,,Процесс интерполяции данных для геомеханической модели,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
MAT_119,Material,Вкрапленные руды,ru,,"Тип руды, для которой проводится интерполяция данных",Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
EXP_120,Experiment,Лабораторные физико-механические испытания керна,ru,,"Комплекс лабораторных испытаний керна, включающий определение плотности, влажности, пределов прочности при растяжении, сжатии и срезе, а также деформационных характеристик.",Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_121,Process,Метод кумулятивных сумм,ru,,Метод выделения геотехнических доменов по величине сцепления и технологическому признаку.,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
FAC_122,Facility,ГБМ в ГГИС,ru,Геомеханическая блочная модель,Концепция создания геомеханической блочной модели в геоинформационной системе.,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
EQU_123,Equipment,ПО тНавигатор,ru,,Программное обеспечение для создания геомеханических блочных моделей.,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_124,Process,Определение устойчивых параметров очистных камер,ru,,Процесс определения устойчивых параметров для очистных камер с использованием диаграммы Мэтьюза-Потвина и параметра ELOS.,переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
MAT_125,Material,Вкрапленные и медистые руды,ru,,"Типы руд, которые анализируются в процессе проектирования очистных камер.",пирометаллургия,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
EQU_126,Equipment,Очистные камеры,ru,,"Оборудование, используемое в процессе переработки отходов.",переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PUB_127,Publication,Russian Mining Industry Journal,en,,Научно-технический и производственный журнал,,ГП № 1-2024.pdf,2026-07-03,2026-07-03,True
PRO_128,Process,Геотехническое картирование выработок,ru,,Оценка устойчивости массива горных пород по классификациям Q Бартона и RMR Бенявского,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
EQU_129,Equipment,Горный компас,ru,,Инструмент для определения азимута и угла падения трещин,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
EQU_130,Equipment,Профилометр,ru,,Устройство для определения параметра шероховатости Jr,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
MAT_131,Material,Образцы горных пород,ru,,Куски неправильной формы для физико-механических испытаний,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_132,Process,Физико-механические испытания,ru,,Определение предела прочности образцов горных пород,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
PRO_133,Process,Геомеханическое описание керна,ru,,Методика геомеханического описания керна для классификации устойчивости породного массива,Переработка отходов,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,2026-07-03,2026-07-03,True
